Reference Number,Included?,Authors,Article Title,Source Title,Publication Year,Volume,Page/Article Number,DOI
12,N,DNA methylation at stress-related genes is associated with exposure to early life institutionalization,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,"ObjectivesDifferences in DNA methylation have been associated with early life adversity, suggesting that alterations in methylation function as one pathway through which adverse early environments are biologically embedded. This study examined associations between exposure to institutional care, quantified as the proportion of time in institutional care at specified follow-up assessment ages, and DNA methylation status in two stress-related genes: FKBP5 and SLC6A4. Materials and MethodsWe analyzed data from the Bucharest Early Intervention Project, which is a prospective study in which children reared in institutional settings were randomly assigned (mean age 22 months) to either newly created foster care or care as usual (to remain in their current placement) and prospectively followed. A group of children from the same geographic area, with no history of institutionalized caregiving, were also recruited. DNA methylation status was determined in DNA extracted from buccal epithelial cells of children at age 12. ResultsAn inverse association was identified such that more time spent in institutional care was associated with lower DNA methylation at specific CpG sites within both genes. DiscussionThese results suggest a lasting impact of early severe social deprivation on methylation patterns in these genes, and contribute to a growing literature linking early adversity and epigenetic variation in children. Am J Phys Anthropol 161:84-93, 2016.. (c) 2016 Wiley Periodicals, Inc.",2016,161,84-93,10.1002/ajpa.23010
13,N,DNA methylation of methylation complex genes in relation to stress and genome-wide methylation in mother-newborn dyads,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,"ObjectivesEarly life stress is known to have enduring biological effects, particularly with respect to health. Epigenetic modifications, such as DNA methylation, are a possible mechanism to mediate the biological effect of stress. We previously found correlations between maternal stress, newborn birthweight, and genome-wide measures of DNA methylation. Here we investigate ten genes related to the methylation/demethylation complex in order to better understand the impact of stress on health. Materials and methodsDNA methylation and genetic variants at methylation/demethylation genes were assayed. Mean methylation measures were constructed for each gene and tested, in addition to genetic variants, for association with maternal stress measures based on interview and survey data (chronic stress and war trauma), maternal venous, and newborn cord genome-wide mean methylation (GMM), and birthweight. ResultsAfter cell type correction, we found multiple pairwise associations between war trauma, maternal GMM, maternal methylation at DNMT1, DNMT3A, TET3, and MBD2, and birthweight. ConclusionsThe association of maternal GMM and maternal methylation at DNMT1, DNMT3A, TET3, and MBD2 is consistent with the role of these genes in establishing, maintaining and altering genome-wide methylation patterns, in some cases in response to stress. DNMT1 produces one of the primary enzymes that reproduces methylation patterns during DNA replication. DNMT3A and TET3 have been implicated in genome-wide hypomethylation in response to glucocorticoid hormones. Although we cannot determine the directionality of the genic and genome-wide changes in methylation, our results suggest that altered methylation of specific methylation genes may be part of the molecular mechanism underlying the human biological response to stress.",2018,165,173-182,10.1002/ajpa.23341
14,N,"Epigenetic Variability across Human Populations: A Focus on DNA Methylation Profiles of the KRTCAP3, MAD1L1 and BRSK2 Genes",GENOME BIOLOGY AND EVOLUTION,"Natural epigenetic diversity has been suggested as a key mechanism in microevolutionary processes due to its capability to create phenotypic variability within individuals and populations. It constitutes an important reservoir of variation potentially useful for rapid adaptation in response to environmental stimuli. The analysis of population epigenetic structure represents a possible tool to study human adaptation and to identify external factors that are able to naturally shape human DNA methylation variability. The aim of this study is to investigate the dynamics that create epigenetic diversity between and within different human groups. To this end, we first used publicly available epigenome-wide data to explore population-specific DNA methylation changes that occur at macro-geographic scales. Results from this analysis suggest that nutrients. UVA exposure and pathogens load might represent the main environmental factors able to shape DNA methylation profiles. Then, we evaluated DNA methylation of candidate genes (KRTCAP3. MAD1L1, and BRSK2), emerged from the previous analysis, in individuals belonging to different populations from Morocco, Nigeria, Philippines, China, and Italy, but living in the same Italian city. DNA methylation of the BRSK2 gene is significantly different between Moroccans and Nigerians (pairwise t-test: CpG 6 P-value = 5.2*10(-3); CpG 9 P-value =2.6*10(-3); CpG 10 P-value =3.1*10(-3); CpG 11 P-value = 2.8*10(-3)). Comprehensively, these results suggest that DNA methylation diversity is a source of variability in human groups at macro and microgeographical scales and that population demographic and adaptive histories, as well as the individual ancestry, actually influence DNA methylation profiles.",2016,8,2760-2773,10.1093/gbe/evw186
15,N,Evolutionary Origin and Methylation Status of Human Intronic CpG Islands that Are Not Present in Mouse,GENOME BIOLOGY AND EVOLUTION,"Imprinting of the human RB1 gene is due to the presence of a differentially methylated CpG island (CGI) in intron 2, which is part of a retrocopy derived from the PPP1R26 gene on chromosome 9. The murine Rb1 gene does not have this retrocopy and is not imprinted. We have investigated whether the RB1 b1 locus is unique with respect to these differences. For this, we have compared the CGIs from human and mouse by in silico analyses. We have found that the human genome does not only contain more CGIs than the mouse, but the proportion of intronic CGIs is also higher (7.7% vs. 3.5%). At least 2,033 human intronic CGIs are not present in the mouse. Among these CGIs, 104 show sequence similarities elsewhere in the human genome, which suggests that they arose from retrotransposition. We could narrow down the time points when most of these CGIs appeared during evolution. Their methylation status was analyzed in two monocyte methylome data sets from whole-genome bisulfite sequencing and in 18 published methylomes. Four CGIs, which are located in the RB1, ASRGL1, PARP11, and PDXDC1 genes, occur as methylated and unmethylated copies. In contrast to imprinted methylation at the RB1 locus, differential methylation of the ASRGL1 and PDXDC1 CGIs appears to be sequence dependent. Our study supports the notion that the epigenetic fate of the retrotransposed DNA depends on its sequence and selective forces at the integration site.",2014,6,1579-1588,10.1093/gbe/evu125
16,N,"Fast, Accurate and Automatic Ancient Nucleosome and Methylation Maps with epiPALEOMIX",MOLECULAR BIOLOGY AND EVOLUTION,"The first epigenomes from archaic hominins (AH) and ancient anatomically modern humans (AMH) have recently been characterized, based, however, on a limited number of samples. The extent to which ancient genome-wide epigenetic landscapes can be reconstructed thus remains contentious. Here, we present epiPALEOMIX, an open-source and user-friendly pipeline that exploits post-mortem DNA degradation patterns to reconstruct ancient methylomes and nucleosome maps from shotgun and/or capture-enrichment data. Applying epiPALEOMIX to the sequence data underlying 35 ancient genomes including AMH, AH, equids and aurochs, we investigate the temporal, geographical and preservation range of ancient epigenetic signatures. We first assess the quality of inferred ancient epigenetic signatures within well-characterized genomic regions. We find that tissue-specific methylation signatures can be obtained across a wider range of DNA preparation types than previously thought, including when no particular experimental procedures have been used to remove deaminated cytosines prior to sequencing. We identify a large subset of samples for which DNA associated with nucleosomes is protected from post-mortem degradation, and nucleosome positioning patterns can be reconstructed. Finally, we describe parameters and conditions such as DNA damage levels and sequencing depth that limit the preservation of epigenetic signatures in ancient samples. When such conditions are met, we propose that epigenetic profiles of CTCF binding regions can be used to help data authentication. Our work, including epiPALEOMIX, opens for further investigations of ancient epigenomes through time especially aimed at tracking possible epigenetic changes during major evolutionary, environmental, socioeconomic, and cultural shifts.",2016,33,3284-3298,10.1093/molbev/msw184
17,N,Genome-wide analysis of DNA methylation in relation to socioeconomic status during development and early adulthood,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,"Objectives Socioeconomic status (SES) is a powerful determinant of health, but the underlying biological mechanisms are poorly understood. This study investigates whether levels of DNA methylation at CpG sites across the genome are associated with SES in a cohort of young adults in the Philippines. Methods DNA methylation was assayed with the Illumina HumanMethylation450 Bead Chip, in leukocytes from 489 participants in the Cebu Longitudinal Health and Nutrition Survey (mean age = 20.9 years). SES was measured in infancy/childhood and adulthood, and was based on composite measures of income, assets, and education. Genome-wide analysis of variable probes identified CpG sites significantly associated with SES after adjustment for multiple comparisons. Functional enrichment analysis was used to identify biological pathways associated with these sites. Results A total of 2,546 CpG sites, across 1,537 annotated genes, were differentially methylated in association with SES. In comparison with high SES, low SES was associated with increased methylation at 1,777 sites, and decreased methylation at 769 sites. Functional enrichment analysis identified over-representation of biological pathways related to immune function, skeletal development, and development of the nervous system. Conclusions Socioeconomic status predicts DNA methylation at a large number of CpG sites across the genome. The scope of these associations is commensurate with the wide range of biological systems and health outcomes that are shaped by SES, and these findings suggest that DNA methylation may play an important role.",2019,169,11-Mar,10.1002/ajpa.23800
18,N,Genome-wide DNA methylation analyses in the brain reveal four differentially methylated regions between humans and non-human primates,BMC EVOLUTIONARY BIOLOGY,"Background: The highly improved cognitive function is the most significant change in human evolutionary history. Recently, several large-scale studies reported the evolutionary roles of DNA methylation; however, the role of DNA methylation on brain evolution is largely unknown. Results: To test if DNA methylation has contributed to the evolution of human brain, with the use of MeDIP-Chip and SEQUENOM MassARRAY, we conducted a genome-wide analysis to identify differentially methylated regions (DMRs) in the brain between humans and rhesus macaques. We first identified a total of 150 candidate DMRs by the MeDIP-Chip method, among which 4 DMRs were confirmed by the MassARRAY analysis. All 4 DMRs are within or close to the CpG islands, and a MIR3 repeat element was identified in one DMR, but no repeat sequence was observed in the other 3 DMRs. For the 4 DMR genes, their proteins tend to be conserved and two genes have neural related functions. Bisulfite sequencing and phylogenetic comparison among human, chimpanzee, rhesus macaque and rat suggested several regions of lineage specific DNA methylation, including a human specific hypomethylated region in the promoter of K6IRS2 gene. Conclusions: Our study provides a new angle of studying human brain evolution and understanding the evolutionary role of DNA methylation in the central nervous system. The results suggest that the patterns of DNA methylation in the brain are in general similar between humans and non-human primates, and only a few DMRs were identified.",2012,12,144,10.1186/1471-2148-12-144
19,N,Global DNA methylation (LINE-1) associated with exposure to arsenic-contaminated environment and with type of arsenical skin lesions in Thailand,HUMAN AND ECOLOGICAL RISK ASSESSMENT,"The effects of chronic arsenic exposure mode on DNA methylation and skin lesion type are unclear. These relationships were investigated in an arsenic-contaminated area of southern Thailand. Cases with arsenical skin lesions (n = 131) and lesion-free controls (n = 163) were selected from an arsenic-contaminated sub-district, as well as 105 controls from a non-contaminated area. Type and severity of skin lesions and salivary global DNA methylation (LINE-1) were determined. Arsenic exposure was characterized as occupational, domestic and current (toe-nail arsenic). Associations were explored using logistic regression. Cases and controls had lower LINE-1 methylation and higher toenail arsenic than external controls (74.65% and 74.61% vs 76.05%, p < 0.001 for each). Cases were more likely to have been exposed domestically (ORtotal 1.76, 95% ci 1.00, 3.11; and 2.22, 95% ci 1.22, 4.03; P-trend = 0.005 for exposure <36 and >= 36 years). More severe spotty hyperpigmentation was related to higher LINE-1 methylation (P-trend=0.006). LINE-1 methylation was positively associated with toenail arsenic only among non-symptomatic exposed subjects (OR 1.31, 95% ci 1.06, 1.64; p = 0.014). Exposure to an arsenic-contaminated environment results in global DNA hypomethylation. However, among symptomatic subjects, increased global DNA methylation was associated with increased severity of spotty hyperpigmentation.",2019,25,688-705,10.1080/10807039.2018.1448968
20,N,"Impacts of Pretranscriptional DNA Methylation, Transcriptional Transcription Factor, and Posttranscriptional microRNA Regulations on Protein Evolutionary Rate",GENOME BIOLOGY AND EVOLUTION,"Gene expression is largely regulated by DNA methylation, transcription factor (TF), and microRNA (miRNA) before, during, and after transcription, respectively. Although the evolutionary effects of TF/miRNA regulations have been widely studied, evolutionary analysis of simultaneously accounting for DNA methylation, TF, and miRNA regulations and whether promoter methylation and gene body (coding regions) methylation have different effects on the rate of gene evolution remain uninvestigated. Here, we compared human-macaque and human-mouse protein evolutionary rates against experimentally determined single base-resolution DNA methylation data, revealing that promoter methylation level is positively correlated with protein evolutionary rates but negatively correlated with TF/miRNA regulations, whereas the opposite was observed for gene body methylation level. Our results showed that the relative importance of these regulatory factors in determining the rate of mammalian protein evolution is as follows: Promoter methylation approximate to miRNA regulation > gene body methylation > TF regulation, and further indicated that promoter methylation and miRNA regulation have a significant dependent effect on protein evolutionary rates. Although the mechanisms underlying cooperation between DNA methylation and TFs/miRNAs in gene regulation remain unclear, our study helps to not only illuminate the impact of these regulatory factors on mammalian protein evolution but also their intricate interaction within gene regulatory networks.",2014,6,1530-1541,10.1093/gbe/evu124
21,N,Inferring chronological age from DNA methylation patterns of human teeth,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,"ObjectiveCurrent methods to determine chronological age from modern and ancient remains rely on both morphological and molecular approaches. However, low accuracy and the lack of standardized protocols make the development of alternative methods for the estimation of individual's age even more urgent for several research fields, such as biological anthropology, biodemography, forensics, evolutionary genetics, and ancient DNA studies. Therefore, the aim of this study is to identify genomic regions whose DNA methylation level correlates with age in modern teeth. MethodsWe used MALDI-TOF mass spectrometry to analyze DNA methylation levels of specific CpGs located in the ELOVL2, FHL2, and PENK genes. We considered methylation data from cementum, dentin and pulp of 21 modern teeth (from 17 to 77 years old) to construct a mathematical model able to exploit DNA methylation values to predict age of the individuals. ResultsThe median difference between the real age and that estimated using DNA methylation values is 1.20 years (SD=1.9) if DNA is recovered from both cementum and pulp of the same modern teeth, 2.25 years (SD=2.5) if DNA is recovered from dental pulp, 2.45 years (SD=3.3) if DNA is extracted from cementum and 7.07 years (SD=7.0) when DNA is recovered from dentin only. DiscussionWe propose for the first time the evaluation of DNA methylation at ELOVL2, FHL2, and PENK genes as a powerful tool to predict age in modern teeth for anthropological applications. Future studies are needed to apply this method also to historical and relatively ancient human teeth. Am J Phys Anthropol 159:585-595, 2016. (c) 2015 Wiley Periodicals, Inc.",2016,159,585-595,10.1002/ajpa.22921
22,N,Integration of single nucleotide variants and whole-genome DNA methylation profiles for classification of rheumatoid arthritis cases from controls,HEREDITY,"This study evaluated the use of multiomics data for classification accuracy of rheumatoid arthritis (RA). Three approaches were used and compared in terms of prediction accuracy: (1) whole-genome prediction (WGP) using SNP marker information only, (2) whole-methylome prediction (WMP) using methylation profiles only, and (3) whole-genome/methylome prediction (WGMP) with combining both omics layers. The number of SNP and of methylation sites varied in each scenario, with either 1, 10, or 50% of these preselected based on four approaches: randomly, evenly spaced, lowest p value (genome-wide association or epigenome-wide association study), and estimated effect size using a Bayesian ridge regression (BRR) model. To remove effects of high levels of pairwise linkage disequilibrium (LD), SNPs were also preselected with an LD-pruning method. Five Bayesian regression models were studied for classification, including BRR, Bayes-A, Bayes-B, Bayes-C, and the Bayesian LASSO. Adjusting methylation profiles for cellular heterogeneity within whole blood samples had a detrimental effect on the classification ability of the models. Overall, WGMP using Bayes-B model has the best performance. In particular, selecting SNPs based on LD-pruning with 1% of the methylation sites selected based on BRR included in the model, and fitting the most significant SNP as a fixed effect was the best method for predicting disease risk with a classification accuracy of 0.975. Our results showed that multiomics data can be used to effectively predict the risk of RA and identify cases in early stages to prevent or alter disease progression via appropriate interventions.",2020,124,658-674,10.1038/s41437-020-0301-4
23,N,"Specific Modifications of Histone Tails, but Not DNA Methylation, Mirror the Temporal Variation of Mammalian Recombination Hotspots",GENOME BIOLOGY AND EVOLUTION,"Recombination clusters nonuniformly across mammalian genomes at discrete genomic loci referred to as recombination hotspots. Despite their ubiquitous presence, individual hotspots rapidly lose their activities, and the molecular and evolutionary mechanisms underlying such frequent hotspot turnovers (the so-called recombination hotspot paradox) remain unresolved. Even though some sequence motifs are significantly associated with hotspots, multiple lines of evidence indicate that factors other than underlying sequences, such as epigenetic modifications, may affect the evolution of recombination hotspots. Thus, identifying epigenetic factors that covary with recombination at fine-scale is a promising step for this important research area. It was previously reported that recombination rates correlate with indirect measures of DNA methylation in the human genome. Here, we analyze experimentally determined DNA methylation and histone modification of human sperms, and show that the correlation between DNA methylation and recombination in long-range windows does not hold with respect to the spatial and temporal variation of recombination at hotspots. On the other hand, two histone modifications (H3K4me3 and H3K27me3) overlap extensively with recombination hotspots. Similar trends were observed in mice. These results indicate that specific histone modifications rather than DNA methylation are associated with the rapid evolution of recombination hotspots. Furthermore, many human recombination hotspots occupy bivalent chromatin regions that harbor both active (H3K4me3) and repressive (H3K27me3) marks. This may explain why human recombination hotspots tend to occur in nongenic regions, in contrast to yeast and Arabidopsis hotspots that are characterized by generally active chromatins. Our results highlight the dynamic epigenetic underpinnings of recombination hotspot evolution.",2014,6,2918-2929,10.1093/gbe/evu230
24,N,Worldwide patterns of human epigenetic variation,NATURE ECOLOGY & EVOLUTION,"DNA methylation is an epigenetic modification, influenced by both genetic and environmental variation, that plays a key role in transcriptional regulation and many organismal phenotypes. Although patterns of DNA methylation have been shown to differ between human populations, it remains to be determined how epigenetic diversity relates to the patterns of genetic and gene expression variation at a global scale. Here we measured DNA methylation at 485,000 CpG sites in five diverse human populations, and analysed these data together with genome-wide genotype and gene expression data. We found that population-specific DNA methylation mirrors genetic variation, and has greater local genetic control than mRNA levels. We estimated the rate of epigenetic divergence between populations, which indicates far greater evolutionary stability of DNA methylation in humans than has been observed in plants. This study provides a deeper understanding of worldwide patterns of human epigenetic diversity, as well as initial estimates of the rate of epigenetic divergence in recent human evolution.",2017,1,1577-1583,10.1038/s41559-017-0299-z
25,N,A Genomic Imprinting Model of Termite Caste Determination: Not Genetic but Epigenetic Inheritance Influences Offspring Caste Fate,AMERICAN NATURALIST,"Eusocial insects exhibit the most striking example of phenotypic plasticity. There has been a long controversy over the factors determining caste development of individuals in social insects. Here we demonstrate that parental phenotypes influence the social status of offspring not through genetic inheritance but through genomic imprinting in termites. Our extensive field survey and genetic analysis of the termite Reticulitermes speratus show that its breeding system is inconsistent with a genetic caste determination model. We therefore developed a genomic imprinting model, in which queen- and king-specific epigenetic marks antagonistically influence sexual development of offspring. The model accounts for all known empirical data on caste differentiation of R. speratus and other related species. By conducting colony-founding experiments and additively incorporating relevant socio-environmental factors into our genomic imprinting model, we show the relative importance of genomic imprinting and environmental factors in caste determination. The idea of epigenetic inheritance of sexual phenotypes solves the puzzle of why parthenogenetically produced daughters carrying only maternal chromosomes exclusively develop into queens and why parental phenotypes (nymph- or worker-derived reproductives) strongly influence caste differentiation of offspring. According to our model, the worker caste is seen as a neuter caste whose sexual development is suppressed due to counterbalanced maternal and paternal imprinting and opens new avenues for understanding the evolution of caste systems in social insects.",2018,191,677-690,10.1086/697238
26,N,A Neutrality Test for Detecting Selection on DNA Methylation Using Single Methylation Polymorphism Frequency Spectrum,GENOME BIOLOGY AND EVOLUTION,"Inheritable epigenetic mutations (epimutations) can contribute to transmittable phenotypic variation. Thus, epimutations can be subject to natural selection and impact the fitness and evolution of organisms. Based on the framework of the modified Tajima's D test for DNA mutations, we developed a neutrality test with the statistic D-m to detect selection forces on DNA methylation mutations using single methylation polymorphisms. With computer simulation and empirical data analysis, we compared the D-m test with the original and modified Tajima's D tests and demonstrated that the D-m test is suitable for detecting selection on epimutations and outperforms original/modified Tajima's D tests. Due to the higher resetting rate of epimutations, the interpretation of D-m on epimutations and Tajima's D test on DNA mutations could be different in inferring natural selection. Analyses using simulated and empirical genome-wide polymorphism data suggested that genes under genetic and epigenetic selections behaved differently. We applied the D-m test to recently originated Arabidopsis and human genes, and showed that newly evolved genes contain higher level of rare epialleles, suggesting that epimutation may play a role in origination and evolution of genes and genomes. Overall, we demonstrate the utility of the D-m test to detect whether the loci are under selection regarding DNA methylation. Our analytical metrics and methodology could contribute to our understanding of evolutionary processes of genes and genomes in the field of epigenetics. The Perl script for the D-m test is available at http://fanlab.wayne.edu/ (last accessed December 18, 2014).",2015,7,154-171,10.1093/gbe/evu271
27,Y,"Bachere, E., A. Barranger, R. Bruno, J. Rouxel, D. Menard, D. Piquemal and F. Akcha",Parental diuron-exposure alters offspring transcriptome and fitness in Pacific oyster Crassostrea gigas,Ecotoxicology and Environmental Safety,2017,142,51-58,
28,N,Adjusting to Global Change through Clonal Growth and Epigenetic Variation,FRONTIERS IN ECOLOGY AND EVOLUTION,"The earth is experiencing major changes in global and regional climates and changes are predicted to accelerate in the future. Many species will be under considerable pressure to evolve, to migrate, or be faced with extinction. Clonal plants would appear to be at a particular disadvantage due to their limited mobility and limited capacity for adaptation. However, they have outlived previous environmental shifts and clonal species have persisted for millenia. Clonal spread offers unique ecological advantages, such as resource sharing, risk sharing, and economies of scale among ramets within genotypes. We suggest that ecological attributes of clonal plants, in tandem with variation in gene regulation through epigenetic mechanisms that facilitate and optimize phenotype variation in response to environmental change may permit them to be well suited to projected conditions.",2016,4,86,10.3339/fevo.2016.00086
29,N,Alternative epigenetic states understood in terms of specific regulatory structures,FROM EPIGENESIS TO EPIGENETICS: THE GENOME IN CONTEXT,"Generally speaking, epigenetic states or epigenetic regulation refer to situations in which several states of gene,expression may coexist in similar environmental conditions, despite the absence of significant changes in the genomic sequence. In one way or another, the mechanisms behind these phenomena involve vicious circles, so that each epigenetic. state tends to sustain itself, even after the disappearance of the inductive signal involved in the selection of that particular state. These vicious circles constitute positive feedback circuits and are found at the core of many developmental regulatory systems. In this paper, we present a qualitative model for the regulatory network formed by maternal and gap gene crossregulations. This network controls the initial anterior-posterior patterning during early Drosophila embryogenesis and encompasses several intertwined feedback circuits. On the basis of our model analysis, we derive interesting insights about how specific expression states of the gap genes are selected along the anterior-posterior axis, in particular in relation with the activity of one positive feedback circuit, namely that formed by giant and Kruppel cross-inhibitions. In addition, we are able to qualitatively simulate the patterns of gene expression in the wild-type, as well as to predict the phenotypes of various loss-of-function mutations at the maternal and gap genes, or cis-regulatory mutations at the gap genes, as well as the effects of ectopic expression of these genes.",2002,981,135-153,
