Reference Number,Included?,Authors,Article Title,Source Title,Publication Year,Volume,Page/Article Number,DOI
48,Y,"Bossdorf, O., D. Arcuri, C. L. Richards and M. Pigliucci",Experimental alteration of DNA methylation affects the phenotypic plasticity of ecologically relevant traits in Arabidopsis thaliana,EVOLUTIONARY ECOLOGY,2010,24,541-553,10.1007/s10682-010-9372-7
49,N,"Van Petegem, Katrien Hilde Petra; Petillon, Julien; Renault, David; Wybouw, Nicky; Van Leeuwen, Thomas; Stoks, Robby; Bonte, Dries",Empirically simulated spatial sorting points at fast epigenetic changes in dispersal behaviour,EVOLUTIONARY ECOLOGY,2015,29,299-310,10.1007/s10682-015-9756-9
50,N,"Cosseau, Celine; Azzi, A.; Rognon, A.; Boissier, J.; Gourbiere, S.; Roger, E.; Mitta, G.; Grunau, Christoph",Epigenetic and phenotypic variability in populations of Schistosoma mansoni - a possible kick-off for adaptive host/parasite evolution,OIKOS,2010,119,669-678,10.1111/j.1600-0706.2009.18040.x
51,N,"Maleszka, Ryszard",Epigenetic code and insect behavioural plasticity,CURRENT OPINION IN INSECT SCIENCE,2016,15,45-52,10.1016/j.cois.2016.03.003
52,N,"Fieldes, M.A.; Amyot, L.M.",Epigenetic control of early flowering in flax lines induced by 5-azacytidine applied to germinating seed,JOURNAL OF HEREDITY,1999,90,199-206,10.1093/jhered/90.1.199
53,N,"Cha, Young; Sung, Min-Kyung; Jung, Kyung-Won; Kim, Hwan-Hee; Lee, Su-Man; Park, Kyung-Soon",Epigenetic deregulation of the human Oct4 promoter in mouse cells,DEVELOPMENT GENES AND EVOLUTION,2008,218,561-566,10.1007/s00427-008-0253-9
54,N,"Poulin, Robert; Thomas, Frederic",Epigenetic effects of infection on the phenotype of host offspring: parasites reaching across host generations,OIKOS,2008,117,331-335,10.1111/j.2007.0030-1299.16435.x
55,N,"Young, Nathan M.; Hallgrimsson, Benedikt; Garland Jr.; Theodore",Epigenetic Effects on Integration of Limb Lengths in a Mouse Model: Selective Breeding for High Voluntary Locomotor Activity,EVOLUTIONARY BIOLOGY,2009,36,88-99,10.1007/s11692-009-9053-z
56,N,"Adam, Mike; Murali, Bhuvana; Glenn, Nicole O.; Potter, S. Steven",Epigenetic inheritance based evolution of antibiotic resistance in bacteria,BMC EVOLUTIONARY BIOLOGY,2008,8,52,10.1186/1471-2148-8-52
57,N,"Hallgrimsson, B.; Lieberman, D.E.; Liu, W.; Ford-Hutchinson, A.F.; Jirik, F.R.",Epigenetic interactions and the structure of phenotypic variation in the cranium,EVOLUTION & DEVELOPMENT,2007,9,76-91,10.1111/j.1525-142X.2006.00139.x
58,N,"Kronholm, Ilkka; Collins, Sinead",Epigenetic mutations can both help and hinder adaptive evolution,MOLECULAR ECOLOGY,2016,25,1856-1868,10.1111/mec.13296
59,N,"Daugman, John; Downing, Cathryn","Epigenetic randomness, complexity and singularity of human iris patterns",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2001,268,1737-1740,10.1098/rspb.2001.1696
60,Y,"Cara, N., C. F. Marfil and R. W. Masuelli",Epigenetic patterns newly established after interspecific hybridization in natural populations of Solanum,ECOLOGY AND EVOLUTION,2013,3,3764-3779,10.1002/ece3.758
61,N,"St. John, Justin C.","Epigenetic Regulation of the Nuclear and Mitochondrial Genomes: Involvement in Metabolism, Development, and Disease","ANNUAL REVIEW OF ANIMAL BIOSCIENCES, VOL 9, 2021",2021,9,203-224,10.1146/annurev-animal-080520-083353
62,N,"Adams, Colin E.; Woltering, Chris; Alexander, Gavin","Epigenetic regulation of trophic morphology through feeding behaviour in Arctic charr, Salvelinus alpinus",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2003,78,43-49,10.1046/j.1095-8312.2003.00126.x
63,N,"Rodin, Sergei N.; Riggs, Arthur D.",Epigenetic silencing may aid evolution by gene duplication,JOURNAL OF MOLECULAR EVOLUTION,2003,56,718-729,10.1007/s00239-002-2446-6
64,N,"Ardito, G.",Epigenetic variants of skulls in some ancient and recent Italian populations,JOURNAL OF HUMAN EVOLUTION,1977,6,689-695,10.1016/S0047-2484(77)80095-X
65,N,"Verhoeven, Koen J. F.; Preite, Veronica",Epigenetic variation in asexually reproducing organisms,EVOLUTION,2014,68,644-655,10.1111/evo.12320
66,N,"Albalat, Ricard",Evolution of DNA-methylation machinery: DNA methyltransferases and methyl-DNA binding proteins in the amphioxus Branchiostoma floridae,DEVELOPMENT GENES AND EVOLUTION,2008,218,691-701,10.1007/s00427-008-0247-7
67,N,"Daboussi, Marie-Josee; Daviere, Jean-Michel; Graziani, Stephane; Langin, Thierry",Evolution of the Fot1 transposons in the genus Fusarium: Discontinuous distribution and epigenetic inactivation,MOLECULAR BIOLOGY AND EVOLUTION,2002,19,510-520,10.1093/oxfordjournals.molbev.a004106
68,N,"Glastad, Karl M.; Hunt, Brendan G.; Goodisman, Michael Ad",Evolutionary insights into DNA methylation in insects,CURRENT OPINION IN INSECT SCIENCE,2014,1,25-30,10.1016/j.cois.2014.04.001
70,N,"Geoghegan, Jemma L.; Spencer, Hamish G.",Exploring epiallele stability in a population-epigenetic model,THEORETICAL POPULATION BIOLOGY,2013,83,136-144,10.1016/j.tpb.2012.09.001
71,N,"Dall, Sasha R.X.; McNamara, John M.; Leimar, Olof",Genes as cues: phenotypic integration of genetic and epigenetic information from a Darwinian perspective,TRENDS IN ECOLOGY & EVOLUTION,2015,30,327-333,10.1016/j.tree.2015.04.002
72,N,"Paun, Ovidiu; Fay, Michael F.; Soltis, Douglas E.; Chase, Mark W.",Genetic and epigenetic alterations after hybridization and genome doubling,TAXON,2007,56,649-656,10.2307/25065849
73,N,"Tian, L.; Li, X.; Ha, M.; Zhang, C.; Chen, Z.J.",Genetic and epigenetic changes in a genomic region containing MIR172 in Arabidopsis allopolyploids and their progenitors,HEREDITY,2014,112,207-214,10.1038/hdy.2013.94
74,N,"Levy, Avraham A.; Feldman, Moshe",Genetic and epigenetic reprogramming of the wheat genome upon allopolyploidization,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2004,82,607-613,10.1111/j.1095-8312.2004.00346.x
75,Y,"Cribiu, P., A. Chaumot, O. Geffard, J.-L. Ravanat, T. Bastide, N. Delorme, H. Queau, S. Galliat, A. Devaux and S. Bony","Natural variability and modulation by environmental stressors of global genomic cytosine methylation levels in a freshwater crustacean, Gammarus fossarum",AQUATIC TOXICOLOGY,2018,205,18-Nov,10.1016/j.aquatox.2018.09.015
76,N,"Furrow, Robert E.; Feldman, Marcus W.",Genetic variation and the evolution of epigenetic regulation,EVOLUTION,2014,68,673-683,10.1111/evo.12225
77,N,"Zimmerman, W.J.; Culley, D.E.","Genetic-variation at theapcAB, cpcAB, gvpA1, andnifH loci and in DNA methylation among N2-fixing cyanobacteria designated Nostoc punctiforme",MICROBIAL ECOLOGY,1991,21,199-209,10.1007/BF02539154
78,N,"Saunders Jaclyn K.; Rocap, Gabrielle",Genomic potential for arsenic efflux and methylation varies among global Prochlorococcus populations,ISME JOURNAL,2016,10,197-209,10.1038/ismej.2015.85
79,N,"Little, B.B.","Gestation length, metabolic rate, and body and brain weights in primates: epigenetic effects",AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,1989,80,213-218,10.1002/ajpa.1330800209
80,N,"Kishore, Sandeep P.; Stiller, John W.; Deitsch, Kirk W.",Horizontal gene transfer of epigenetic machinery and evolution of parasitism in the malaria parasite Plasmodium falciparum and other apicomplexans,BMC EVOLUTIONARY BIOLOGY,2013,13,37,10.1186/1471-2148-13-37
81,N,"Perez, Julio E.; Alfonsi, C.; Ramos, Carlos; Gomez, Juan A.; Munoz, Carlos; Salazar, Sinatra K.","How some alien species become invasive. Some ecological, genetic, and epigenetic basis for bioinvasions",INTERCIENCIA,2012,37,238-244,
82,N,"Herman, Jacob J.; Spencer, Hamish G.; Donohue, Kathleen; Sultan, Sonia E.",How stable 'should' epigenetic modifications be? Insights from adaptive plasticity and bet hedging,EVOLUTION,2014,68,632-643,10.1111/evo.12324
83,N,"Chambeyron, Severine; Seitz, Herve",Insect small non-coding RNA involved in epigenetic regulations,CURRENT OPINION IN INSECT SCIENCE,2014,1,9-Jan,10.1016/j.cois.2014.05.001
84,N,"Field, Linda M.; Blackman, Roger L.",Insecticide resistance in the aphid Myzus persicae (Sulzer): chromosome location and epigenetic effects on esterase gene expression in clonal lineages,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2003,79,107-113,10.1046/j.1095-8312.2003.00178.x
85,N,"Day, Troy",Interpreting phenotypic antibiotic tolerance and persister cells as evolution via epigenetic inheritance,MOLECULAR ECOLOGY,2016,25,1869-1882,10.1111/mec.13603
86,N,"Drewell, Robert A.; Lo, Nathan; Oxley, Peter R.; Oldroyd, Benjamin P.",Kin conflict in insect societies: a new epigenetic perspective,TRENDS IN ECOLOGY & EVOLUTION,2012,27,367-373,10.1016/j.tree.2012.02.005
87,N,"Liu, Yang; El-Kassaby, Yousry A.",Landscape of Fluid Sets of Hairpin-Derived 21-/24-nt-Long Small RNAs at Seed Set Uncovers Special Epigenetic Features in Picea glauca,GENOME BIOLOGY AND EVOLUTION,2017,9,82-92,10.1093/gbe/evw283
88,N,"Gordon, Shira D.; Jackson, Joseph C.; Rogers, Stephen M.; Windmill, James F.C.",Listening to the environment: hearing differences from an epigenetic effect in solitarious and gregarious locusts,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2014,281,20141693,10.1098 spb.2014.1693
89,N,"Quijano, Janine C.; Wisotzkey, Robert G.; Tran, Nancy Lan; Huang, Yunxian; Stinchfield, Michael J.; Haerry, Theodor E.; Shimmi, Osamu; Newfeld, Stuart J.",lolal Is an Evolutionarily New Epigenetic Regulator of dpp Transcription during Dorsal-Ventral Axis Formation,MOLECULAR BIOLOGY AND EVOLUTION,2016,33,2621-2632,10.1093/molbev/msw132
90,N,"Ranyuk, M; Ansorge, H.",Low epigenetic variability of the Eurasian otter Lutra lutra (L.) from Europe to Kamchatka,RUSSIAN JOURNAL OF ECOLOGY,2015,46,195-201,10.1134/S1067413615020095
91,N,"Capilla, Laia; Sanchez-Guillen, Rosa Ana; Farre, Marta; Paytuvi-Gallart, Andreu; Malinverni, Roberto; Ventura, Jacint; Larkin, Denis M.; Ruiz-Herrera, Aurora",Mammalian Comparative Genomics Reveals Genetic and Epigenetic Features Associated with Genome Reshuffling in Rodentia,GENOME BIOLOGY AND EVOLUTION,2016,8,3703-3717,10.1093/gbe/evw276
92,N,"Eckert, Silvia; Herden, Jasmin; Stift, Marc; Joshi, Jasmin; van Kleunen, Mark",Manipulation of cytosine methylation does not remove latitudinal clines in two invasive goldenrod species in Central Europe,MOLECULAR ECOLOGY,2021,30,222-236,10.1111/mec.15722
93,N,"Zhao, Lei; Anderson, Christopher W. N.; Qiu, Guangle; Meng, Bo; Wang, Dingyong; Feng, Xinbin","Mercury methylation in paddy soil: source and distribution of mercury species at a Hg mining area, Guizhou Province, China",BIOGEOSCIENCES,2016,13,2429-2440,10.5194/bg-13-2429-2016
94,N,"Gardiner-Garden, M; Sved, J.A.; Frommer, M.",Methylation sites in angiosperm genes,JOURNAL OF MOLECULAR EVOLUTION,1992,34,219-230,10.1007/BF00162971
95,N,"Zhao, Zhongming; Jiang, Cizhong",Methylation-dependent transition rates are dependent on local sequence lengths and genomic regions,MOLECULAR BIOLOGY AND EVOLUTION,2007,24,23-25,10.1093/molbev/msl156
96,Y,"Dimond, J. L., S. K. Gamblewood and S. B. Roberts",Genetic and epigenetic insight into morphospecies in a reef coral,MOLECULAR ECOLOGY,2017,26,5031-5042,10.1111/mec.14252
97,N,"Roessler, Kyria; Bousios, Alexandros; Meca, Esteban; Gaut, Brandon S.",Modeling Interactions between Transposable Elements and the Plant Epigenetic Response: A Surprising Reliance on Element Retention,GENOME BIOLOGY AND EVOLUTION,2018,10,803-815,10.1093/gbe/evy043
98,N,"Huttley, Gavin A.",Modeling the impact of DNA methylation on the evolution of BRCA1 in mammals,MOLECULAR BIOLOGY AND EVOLUTION,2004,21,1760-1768,10.1093/molbev/msh187
99,N,"Perez-Figueroa, A.",Msap: a tool for the statistical analysis of methylation-sensitive amplified polymorphism data,MOLECULAR ECOLOGY RESOURCES,2013,13,522-527,10.1111/1755-0998.12064
100,N,"Bitar, Maina; Barry, Guy",Multiple Innovations in Genetic and Epigenetic Mechanisms Cooperate to Underpin Human Brain Evolution,MOLECULAR BIOLOGY AND EVOLUTION,2018,35,263-268,10.1093/molbev/msx303
101,N,"Zhu, Maodian; Liu, Shaoying; Wang, Gongying","N-methylation of Benzylamine to N,N-dimethylbenzylamine by Using Dimethyl Carbonate as a Methylation Agent over Aluminophosphate Molecular Sieves",EKOLOJI,2019,28,1451-1461,
102,N,"Turck, Franziska; Coupland, George",Natural variation in epigenetic gene regulation and its effects on plant developmental traits,EVOLUTION,2014,68,620-631,10.1111/evo.12286
103,N,"Boross, Gabor; Papp, Balazs",No Evidence That Protein Noise-Induced Epigenetic Epistasis Constrains Gene Expression Evolution,MOLECULAR BIOLOGY AND EVOLUTION,2017,34,380-390,10.1093/molbev/msw236
104,N,"von Sternberg, Richard",On the roles of repetitive DNA elements in the context of a unified genomic-epigenetic system,FROM EPIGENESIS TO EPIGENETICS: THE GENOME IN CONTEXT,2002,981,154-188,10.1111/j.1749-6632.2002.tb04917.x
